序号,题名,作者,来源,发表时间,数据库,被引,下载
1,管理层权力、私有收益与薪酬操纵,权小锋 吴世农 文芳,经济研究,2010-11-20,期刊,744,12676
2,股权激励、盈余管理与公司治理,苏冬蔚 林大庞,经济研究,2010-11-20,期刊,395,18514
3,新结构经济学——重构发展经济学的框架,林毅夫,经济学(季刊),2010-10-15,期刊,249,8847
4,“潮涌现象”与产能过剩的形成机制,林毅夫 巫和懋 邢亦青,经济研究,2010-10-20,期刊,305,9601
5,中国城市化路径与城市规模的经济学分析,王小鲁,经济研究,2010-10-20,期刊,400,10880
6,中国的绿色工业革命:基于环境全要素生产率视角的解释(1980—2008),陈诗一,经济研究,2010-11-20,期刊,275,6306
7,中国城市化阶段的碳排放:影响因素和减排策略,林伯强 刘希颖,经济研究,2010-08-20,期刊,530,10514
8,高管薪酬:激励还是自利?——来自中国上市公司的证据,吴育辉 吴世农,会计研究,2010-11-15,期刊,441,11761
9,终极控股股东控制权与自由现金流过度投资,俞红海 徐龙炳 陈百助,经济研究,2010-08-20,期刊,475,8695
10,财政分权、政府治理与非经济性公共物品供给,傅勇,经济研究,2010-08-20,期刊,353,7794
11,政治关联、薪酬激励与员工配置效率,刘慧龙 张敏 王亚平 吴联生,经济研究,2010-09-20,期刊,199,7965
12,预期、投机与中国城市房价波动,况伟大,经济研究,2010-09-20,期刊,276,8000
13,代理成本与公司自愿性披露,罗炜 朱春艳,经济研究,2010-10-20,期刊,188,4544
14,刘易斯转折点与公共政策方向的转变——关于中国社会保护的若干特征性事实,蔡昉,中国社会科学,2010-11-10,期刊,154,6122
15,中国区域环境效率与环境全要素生产率增长,王兵 吴延瑞 颜鹏飞,经济研究,2010-05-20,期刊,540,9866
16,农民工市民化对扩大内需和经济增长的影响,国务院发展研究中心课题组 刘世锦 陈昌盛 许召元 崔小勇,经济研究,2010-06-20,期刊,281,9058
17,不同市场化进程下高管激励契约的成本与选择:货币薪酬与在职消费,陈冬华 梁上坤 蒋德权,会计研究,2010-11-15,期刊,243,5354
18,产权性质、债务税盾与资本结构,王跃堂 王亮亮 彭洋,经济研究,2010-09-20,期刊,150,6978
19,基于增长视角的中国最优碳税研究,姚昕 刘希颖,经济研究,2010-11-20,期刊,141,5026
20,中美股票市场的联动性研究,张兵 范致镇 李心丹,经济研究,2010-11-20,期刊,149,5231
21,媒体的公司治理作用:中国的经验证据,李培功 沈艺峰,经济研究,2010-04-20,期刊,450,7964
22,农业政策、粮食产量与粮食生产调整能力,陈飞 范庆泉 高铁梅,经济研究,2010-11-20,期刊,114,4493
23,垄断行业高收入问题探讨,岳希明 李实 史泰丽,中国社会科学,2010-05-10,期刊,254,5032
24,中国城镇化水平和速度的实证分析与前景预测,简新华 黄锟,经济研究,2010-03-20,期刊,653,19412
25,经济发展方式变化对中国碳排放强度的影响,张友国,经济研究,2010-04-20,期刊,352,7956
26,政治联系、寻租与地方政府财政补贴有效性,余明桂 回雅甫 潘红波,经济研究,2010-03-20,期刊,623,9683
27,中国人力资本测度与指数构建,李海峥 梁赟玲 Barbara Fraumeni 刘智强 王小军,经济研究,2010-08-20,期刊,163,7548
28,基于管理视角的企业内部控制评价系统模式,池国华,会计研究,2010-10-15,期刊,314,7688
29,财政分权、政府组织结构与地方政府支出规模,郭庆旺 贾俊雪,经济研究,2010-11-20,期刊,88,5373
30,现金股利、内部现金流与投资效率,肖珉,金融研究,2010-10-25,期刊,185,4996
31,分税制改革、地方财政自主权与公共品供给,陈硕,经济学(季刊),2010-07-31,期刊,181,4635
32,节能减排与中国工业的双赢发展:2009—2049,陈诗一,经济研究,2010-03-20,期刊,354,8358
33,论中国企业内部控制评价制度的现实模式——基于112个企业案例的研究,南京大学会计与财务研究院课题组,会计研究,2010-06-15,期刊,275,12026
34,资本化扩张与赶超型经济的技术进步,中国经济增长与宏观稳定课题组 张平 刘霞辉 张晓晶 张自然 王宏淼 袁富华,经济研究,2010-05-20,期刊,150,5410
35,中国制造业企业的创新活动:所有制和CEO激励的作用,李春涛 宋敏,经济研究,2010-05-20,期刊,260,6200
36,FDI溢出机制、技术进步路径与经济增长绩效,傅元海 唐未兵 王展祥,经济研究,2010-06-20,期刊,184,6939
37,我国城市住房市场泡沫水平的度量,吕江林,经济研究,2010-06-20,期刊,194,5136
38,新型农业经营主体:现状、约束与发展思路——以浙江省为例的分析,黄祖辉 俞宁,中国农村经济,2010-10-30,期刊,247,7117
39,低碳经济约束下的中国潜在经济增长,袁富华,经济研究,2010-08-20,期刊,147,5004
40,政府干预、GDP增长与地方国企过度投资,唐雪松 周晓苏 马如静,金融研究,2010-08-25,期刊,286,6232
41,中国外汇储备的名义收益率和真实收益率,张斌 王勋 华秀萍,经济研究,2010-10-20,期刊,90,3315
42,中国贸易含碳量及其影响因素——基于(进口)非竞争型投入产出表的分析,张友国,经济学(季刊),2010-07-31,期刊,157,2681
43,全面提升企业经营管理水平的重要举措——《企业内部控制配套指引》解读,刘玉廷,会计研究,2010-05-15,期刊,260,5263
44,中国出口企业是否存在“生产率悖论”:基于中国制造业企业数据的检验,李春顶,世界经济,2010-07-10,期刊,300,3696
45,股指期货与股指现货市场间的价格发现能力探究,华仁海 刘庆富,数量经济技术经济研究,2010-10-05,期刊,190,6202
46,基础设施如何提升了出口技术复杂度?,王永进 盛丹 施炳展 李坤望,经济研究,2010-07-20,期刊,180,4084
47,中国银行业广义Malmquist生产率指数研究,张健华 王鹏,经济研究,2010-08-20,期刊,125,3066
48,市场分割推动了中国企业出口吗?,张杰 张培丽 黄泰岩,经济研究,2010-08-20,期刊,139,3608
49,技术进步、教育收益与收入不平等,徐舒,经济研究,2010-09-20,期刊,98,5312
50,融资约束与流动性管理行为,连玉君 彭方平 苏治,金融研究,2010-10-25,期刊,191,5169
51,外资与我国劳动收入份额——基于工业行业的经验研究,邵敏 黄玖立,经济学(季刊),2010-07-31,期刊,140,3157
52,中国碳排放环境库兹涅茨曲线的实证研究——基于省域面板数据,许广月 宋德勇,中国工业经济,2010-05-17,期刊,452,7625
53,中国出口增长的二元边际及其因素决定,钱学锋 熊平,经济研究,2010-01-20,期刊,360,5923
54,行业间不平等:日益重要的城镇收入差距成因——基于回归方程的分解,陈钊 万广华 陆铭,中国社会科学,2010-05-10,期刊,257,7011
55,基础设施的外部性在中国的检验:1988—2007,刘生龙 胡鞍钢,经济研究,2010-03-20,期刊,296,6620
56,中国企业走出去的制度障碍研究——以海外收购为例,张建红 周朝鸿,经济研究,2010-06-20,期刊,152,5012
57,中国上市公司营运资金管理调查:2009,中国海洋大学企业营运资金管理研究课题组 王竹泉,会计研究,2010-09-15,期刊,96,5491
58,职工激励、工资刚性与企业绩效——基于国有非上市公司的经验证据,陈冬华 范从来 沈永建 周亚虹,经济研究,2010-07-20,期刊,118,4764
59,中国的技术进步方向,戴天仕 徐现祥,世界经济,2010-11-10,期刊,155,2236
60,FDI、产业结构与国际经济周期协动性研究,程惠芳 岑丽君,经济研究,2010-09-20,期刊,99,6169
61,中国城乡居民财产分布的实证研究,梁运文 霍震 刘凯,经济研究,2010-10-20,期刊,79,3175
62,寻租、政治联系与“真实”业绩——基于民营上市公司的经验证据,杜兴强 陈韫慧 杜颖洁,金融研究,2010-10-25,期刊,126,3296
63,通货膨胀预期、货币政策工具选择与宏观经济稳定,李成 马文涛 王彬,经济学(季刊),2010-10-15,期刊,73,3875
64,股权分置改革、自愿性信息披露与公司治理,张学勇 廖理,经济研究,2010-04-20,期刊,169,7831
65,地区间产业分布的本地市场效应及其对区域协调发展的启示,范剑勇 谢强强,经济研究,2010-04-20,期刊,179,5530
66,民营企业政治关联、雇员规模与薪酬成本,梁莱歆 冯延超,中国工业经济,2010-10-17,期刊,176,2674
67,投资者情绪、企业投资行为与资源配置效率,花贵如 刘志远 许骞,会计研究,2010-11-15,期刊,133,4825
68,增值税转型对就业负面影响的CGE模拟分析,陈烨 张欣 寇恩惠 刘明,经济研究,2010-09-20,期刊,94,4057
69,环境规制、要素禀赋与产业国际竞争力的实证研究——基于中国制造业的面板数据,傅京燕 李丽莎,管理世界,2010-10-15,期刊,205,5371
70,政治关联与信贷资源配置效率——来自我国民营上市公司的经验证据,张敏 张胜 王成方 申慧慧,管理世界,2010-11-15,期刊,212,5412
71,中国出口增长的三元边际,施炳展,经济学(季刊),2010-07-31,期刊,160,1966
72,金融发展、融资约束与企业投资的实证研究,沈红波 寇宏 张川,中国工业经济,2010-06-17,期刊,304,6438
73,节能和碳排放约束下的中国能源结构战略调整,林伯强 姚昕 刘希颖,中国社会科学,2010-01-10,期刊,322,10479
74,半强制分红政策的市场反应研究,李常青 魏志华 吴世农,经济研究,2010-03-20,期刊,218,6326
75,城市土地集约利用研究进展,赵小风 黄贤金 陈逸 陈志刚,自然资源学报,2010-11-15,期刊,145,5030
76,开发性金融与中国城市化发展,陈元,经济研究,2010-07-20,期刊,130,4134
77,中国城市居民的金融受排斥状况研究,李涛 王志芳 王海港 谭松涛,经济研究,2010-07-20,期刊,101,2655
78,高校扩招与大学毕业生就业,吴要武 赵泉,经济研究,2010-09-20,期刊,75,4043
79,新型农村合作医疗对县村两级医疗价格的影响,封进 刘芳 陈沁,经济研究,2010-11-20,期刊,66,3458
80,后危机时代的中国宏观调控,中国经济增长与宏观稳定课题组 张平 刘霞辉 张晓晶 李成 常欣,经济研究,2010-11-20,期刊,56,3522
81,市场化改革、企业业绩与国有企业经理薪酬,辛清泉 谭伟强,经济研究,2009-11-20,期刊,493,8781
82,最终消费与碳减排责任的经济学分析,樊纲 苏铭 曹静,经济研究,2010-01-20,期刊,225,5869
83,国际分工新形态、金融市场发展与全球失衡,徐建炜 姚洋,世界经济,2010-03-10,期刊,159,3570
84,从功能性收入看中国收入分配的不平等,龚刚 杨光,中国社会科学,2010-03-10,期刊,167,5320
85,金融危机后有关金融监管改革的理论综述,谢平 邹传伟,金融研究,2010-02-25,期刊,245,11965
